,Unix Timestamp,Data
0,1620437400.0,575.7
1,1620437401.0,588.5
2,1620437402.0,593.7
3,1620437403.0,584.6
4,1620437404.0,572.9
5,1620437405.0,568.4
6,1620437406.0,567.7
7,1620437407.0,567.5
8,1620437408.0,569.9
9,1620437409.0,576.3
10,1620437410.0,586.6
11,1620437411.0,591.8
12,1620437412.0,582.2
13,1620437413.0,564.4
14,1620437414.0,556.6
15,1620437415.0,565.9
16,1620437416.0,580.4
17,1620437417.0,584.8
18,1620437418.0,576.8
19,1620437419.0,566.3
20,1620437420.0,562.3
21,1620437421.0,564.6
22,1620437422.0,570.8
23,1620437423.0,579.7
24,1620437424.0,584.9
25,1620437425.0,581.0
26,1620437426.0,571.6
27,1620437427.0,564.4
28,1620437428.0,566.8
29,1620437429.0,574.8
30,1620437430.0,577.2
31,1620437431.0,571.8
32,1620437432.0,570.5
33,1620437433.0,577.8
34,1620437434.0,585.2
35,1620437435.0,585.1
36,1620437436.0,579.4
37,1620437437.0,570.7
38,1620437438.0,558.3
39,1620437439.0,550.3
40,1620437440.0,558.0
41,1620437441.0,573.3
42,1620437442.0,579.2
43,1620437443.0,574.0
44,1620437444.0,566.2
45,1620437445.0,567.1
46,1620437446.0,578.8
47,1620437447.0,586.8
48,1620437448.0,581.1
49,1620437449.0,565.1
50,1620437450.0,549.6
51,1620437451.0,550.2
52,1620437452.0,567.0
53,1620437453.0,580.2
54,1620437454.0,579.9
55,1620437455.0,576.2
56,1620437456.0,575.3
57,1620437457.0,575.6
58,1620437458.0,575.2
59,1620437459.0,575.2
60,1620437460.0,576.0
61,1620437461.0,575.8
62,1620437462.0,572.0
63,1620437463.0,562.9
64,1620437464.0,555.7
65,1620437465.0,561.3
66,1620437466.0,578.3
67,1620437467.0,596.8
68,1620437468.0,603.8
69,1620437469.0,596.1
70,1620437470.0,584.4
71,1620437471.0,577.1
72,1620437472.0,573.0
73,1620437473.0,567.1
74,1620437474.0,563.1
75,1620437475.0,565.7
76,1620437476.0,571.1
77,1620437477.0,574.8
78,1620437478.0,577.2
79,1620437479.0,580.1
80,1620437480.0,581.4
81,1620437481.0,579.2
82,1620437482.0,576.6
83,1620437483.0,572.8
84,1620437484.0,566.8
85,1620437485.0,564.6
86,1620437486.0,565.4
87,1620437487.0,564.1
88,1620437488.0,562.9
89,1620437489.0,568.0
90,1620437490.0,579.0
91,1620437491.0,587.3
92,1620437492.0,584.4
93,1620437493.0,572.7
94,1620437494.0,562.5
95,1620437495.0,561.1
96,1620437496.0,571.9
97,1620437497.0,585.9
98,1620437498.0,591.2
99,1620437499.0,584.7
100,1620437500.0,570.0
101,1620437501.0,560.7
102,1620437502.0,561.8
103,1620437503.0,566.2
104,1620437504.0,572.3
105,1620437505.0,581.5
106,1620437506.0,588.4
107,1620437507.0,584.8
108,1620437508.0,569.5
109,1620437509.0,554.8
110,1620437510.0,553.6
111,1620437511.0,566.2
112,1620437512.0,576.9
113,1620437513.0,576.3
114,1620437514.0,568.2
115,1620437515.0,561.3
116,1620437516.0,562.9
117,1620437517.0,572.6
118,1620437518.0,582.0
119,1620437519.0,584.4
120,1620437520.0,579.8
121,1620437521.0,572.8
122,1620437522.0,567.8
123,1620437523.0,564.5
124,1620437524.0,563.7
125,1620437525.0,569.0
126,1620437526.0,574.6
127,1620437527.0,575.5
128,1620437528.0,576.8
129,1620437529.0,580.5
130,1620437530.0,583.0
131,1620437531.0,581.0
132,1620437532.0,577.2
133,1620437533.0,575.9
134,1620437534.0,579.6
135,1620437535.0,586.4
136,1620437536.0,588.3
137,1620437537.0,577.8
138,1620437538.0,562.0
139,1620437539.0,554.4
140,1620437540.0,559.3
141,1620437541.0,569.3
142,1620437542.0,576.3
143,1620437543.0,582.1
144,1620437544.0,587.9
145,1620437545.0,588.2
146,1620437546.0,578.9
147,1620437547.0,564.6
148,1620437548.0,554.1
149,1620437549.0,552.4
150,1620437550.0,559.9
151,1620437551.0,571.5
152,1620437552.0,580.5
153,1620437553.0,584.9
154,1620437554.0,583.1
155,1620437555.0,577.0
156,1620437556.0,574.7
157,1620437557.0,578.3
158,1620437558.0,581.6
159,1620437559.0,579.9
160,1620437560.0,573.5
161,1620437561.0,565.8
162,1620437562.0,562.1
163,1620437563.0,565.1
164,1620437564.0,571.5
165,1620437565.0,580.1
166,1620437566.0,589.4
167,1620437567.0,590.3
168,1620437568.0,581.6
169,1620437569.0,566.9
170,1620437570.0,553.7
171,1620437571.0,552.1
172,1620437572.0,559.6
173,1620437573.0,567.7
174,1620437574.0,574.5
175,1620437575.0,582.5
176,1620437576.0,586.9
177,1620437577.0,582.6
178,1620437578.0,576.2
179,1620437579.0,570.6
180,1620437580.0,565.5
181,1620437581.0,564.0
182,1620437582.0,566.9
183,1620437583.0,571.5
184,1620437584.0,573.5
185,1620437585.0,574.8
186,1620437586.0,580.6
187,1620437587.0,584.4
188,1620437588.0,578.1
189,1620437589.0,569.3
190,1620437590.0,564.0
191,1620437591.0,558.5
192,1620437592.0,556.7
193,1620437593.0,563.1
194,1620437594.0,573.2
195,1620437595.0,578.9
196,1620437596.0,577.8
197,1620437597.0,573.7
198,1620437598.0,568.7
199,1620437599.0,562.4
200,1620437600.0,562.4
201,1620437601.0,574.3
202,1620437602.0,583.4
203,1620437603.0,577.3
204,1620437604.0,567.0
205,1620437605.0,565.1
206,1620437606.0,574.3
207,1620437607.0,585.9
208,1620437608.0,584.2
209,1620437609.0,568.9
210,1620437610.0,562.0
211,1620437611.0,572.2
212,1620437612.0,580.8
213,1620437613.0,578.8
214,1620437614.0,574.0
215,1620437615.0,571.2
216,1620437616.0,575.5
217,1620437617.0,584.7
218,1620437618.0,584.8
219,1620437619.0,577.8
220,1620437620.0,577.0
221,1620437621.0,579.6
222,1620437622.0,580.5
223,1620437623.0,583.1
224,1620437624.0,581.8
225,1620437625.0,573.7
226,1620437626.0,562.7
227,1620437627.0,556.9
228,1620437628.0,564.1
229,1620437629.0,582.6
230,1620437630.0,599.0
231,1620437631.0,600.7
232,1620437632.0,587.9
233,1620437633.0,571.6
234,1620437634.0,565.2
235,1620437635.0,572.6
236,1620437636.0,583.1
237,1620437637.0,584.3
238,1620437638.0,574.5
239,1620437639.0,560.7
240,1620437640.0,553.8
241,1620437641.0,560.1
242,1620437642.0,573.5
