Ride Number
14655
14305
14285
14220
14170
14117
14092
13961
13929
13910
13898
13897
13892
13776
13775
13765
13690
13687
13680
13670
13635
13627
13618
13605
13586
13576
13575
13565
13564
13562
13543
13510
13509
13508
13482
13477
13435
13431
13426
13369
13332
13274
13272
13266
13258
13216
13207
13140
13132
13131
13128
13127
13118
13051
13050
13047
12988
12983
12982
12981
12979
12937
12935
12934
12925
12866
12863
12862
12843
12833
12533
12502
12484
12477
12476
12250
12186
12179
12177
12140
12088
12086
12084
12081
12027
12026
12024
12008
11896
11822
11821
11759
11751
11750
11713
11603
11552
11543
11542
11538
11528
11475
11378
11167
11165
11126
