,Unix Timestamp,Data
245,1621110845.0,538.9
246,1621110846.0,532.7
247,1621110847.0,525.5
248,1621110848.0,533.9
249,1621110849.0,551.5
250,1621110850.0,553.2
251,1621110851.0,535.6
252,1621110852.0,518.8
253,1621110853.0,515.5
254,1621110854.0,522.8
255,1621110855.0,536.1
256,1621110856.0,542.9
257,1621110857.0,539.7
258,1621110858.0,535.8
259,1621110859.0,537.6
260,1621110860.0,536.9
261,1621110861.0,527.8
262,1621110862.0,517.4
263,1621110863.0,517.1
264,1621110864.0,530.0
265,1621110865.0,541.9
266,1621110866.0,538.7
267,1621110867.0,528.0
268,1621110868.0,525.8
269,1621110869.0,531.5
270,1621110870.0,536.4
271,1621110871.0,532.8
272,1621110872.0,522.8
273,1621110873.0,519.9
274,1621110874.0,527.6
275,1621110875.0,534.8
276,1621110876.0,538.1
277,1621110877.0,537.7
278,1621110878.0,535.7
279,1621110879.0,535.3
280,1621110880.0,536.9
281,1621110881.0,535.2
282,1621110882.0,525.9
283,1621110883.0,519.3
284,1621110884.0,524.3
285,1621110885.0,535.7
286,1621110886.0,538.5
287,1621110887.0,529.6
288,1621110888.0,522.1
289,1621110889.0,520.4
290,1621110890.0,526.6
291,1621110891.0,539.6
292,1621110892.0,550.8
293,1621110893.0,554.8
294,1621110894.0,551.4
295,1621110895.0,543.3
296,1621110896.0,534.7
297,1621110897.0,528.7
298,1621110898.0,532.7
299,1621110899.0,540.8
300,1621110900.0,543.5
301,1621110901.0,538.4
302,1621110902.0,533.0
303,1621110903.0,532.4
304,1621110904.0,528.2
305,1621110905.0,517.8
306,1621110906.0,516.7
307,1621110907.0,530.5
308,1621110908.0,545.0
309,1621110909.0,550.7
310,1621110910.0,548.7
311,1621110911.0,543.7
312,1621110912.0,540.7
313,1621110913.0,539.3
314,1621110914.0,533.9
315,1621110915.0,527.9
316,1621110916.0,533.4
317,1621110917.0,544.7
318,1621110918.0,546.3
319,1621110919.0,536.8
320,1621110920.0,525.6
321,1621110921.0,518.8
322,1621110922.0,519.9
