ride_id,UTC,IMU A2
15692,2018-11-09 19:16:03.789000+00:00,48.0
15692,2018-11-09 19:16:04.812000+00:00,306.0
15692,2018-11-09 19:16:05.802000+00:00,510.0
15692,2018-11-09 19:16:06.825000+00:00,420.0
15692,2018-11-09 19:16:07.815000+00:00,254.0
15692,2018-11-09 19:16:08.838000+00:00,368.0
15692,2018-11-09 19:16:09.828000+00:00,482.0
15692,2018-11-09 19:16:10.851000+00:00,489.0
15692,2018-11-09 19:16:11.841000+00:00,688.0
15692,2018-11-09 19:16:12.831000+00:00,601.0
15692,2018-11-09 19:16:13.854000+00:00,515.0
15692,2018-11-09 19:16:14.877000+00:00,455.0
15692,2018-11-09 19:16:15.867000+00:00,400.0
15692,2018-11-09 19:16:16.890000+00:00,363.0
15692,2018-11-09 19:16:17.880000+00:00,619.0
15692,2018-11-09 19:16:18.870000+00:00,479.0
15692,2018-11-09 19:16:19.893000+00:00,702.0
15692,2018-11-09 19:16:20.916000+00:00,516.0
15692,2018-11-09 19:16:21.906000+00:00,494.0
15692,2018-11-09 19:16:22.929000+00:00,479.0
15692,2018-11-09 19:16:23.919000+00:00,496.0
15692,2018-11-09 19:16:24.909000+00:00,535.0
15692,2018-11-09 19:16:25.932000+00:00,497.0
15692,2018-11-09 19:16:26.955000+00:00,530.0
15692,2018-11-09 19:16:27.945000+00:00,465.0
15692,2018-11-09 19:16:28.968000+00:00,492.0
15692,2018-11-09 19:16:29.958000+00:00,501.0
15692,2018-11-09 19:16:30.948000+00:00,498.0
15692,2018-11-09 19:16:31.971000+00:00,492.0
15692,2018-11-09 19:16:32.961000+00:00,513.0
15692,2018-11-09 19:16:33.984000+00:00,543.0
15692,2018-11-09 19:16:34.974000+00:00,511.0
15692,2018-11-09 19:16:35.997000+00:00,483.0
15692,2018-11-09 19:16:36.987000+00:00,513.0
15692,2018-11-09 19:16:38.010000+00:00,489.0
15692,2018-11-09 19:16:39+00:00,568.0
15692,2018-11-09 19:16:40.023000+00:00,520.0
15692,2018-11-09 19:16:41.013000+00:00,490.0
15692,2018-11-09 19:16:42.036000+00:00,457.0
15692,2018-11-09 19:16:43.026000+00:00,499.0
15692,2018-11-09 19:16:44.049000+00:00,486.0
15692,2018-11-09 19:16:45.039000+00:00,580.0
15692,2018-11-09 19:16:46.062000+00:00,466.0
15692,2018-11-09 19:16:47.052000+00:00,494.0
15692,2018-11-09 19:16:48.075000+00:00,513.0
15692,2018-11-09 19:16:49.065000+00:00,516.0
15692,2018-11-09 19:16:50.088000+00:00,500.0
15692,2018-11-09 19:16:51.078000+00:00,477.0
15692,2018-11-09 19:16:51.936000+00:00,505.0
15692,2018-11-09 19:16:52.728000+00:00,482.0
15692,2018-11-09 19:16:53.553000+00:00,470.0
15692,2018-11-09 19:16:54.345000+00:00,464.0
15692,2018-11-09 19:16:55.137000+00:00,483.0
15692,2018-11-09 19:16:55.962000+00:00,476.0
15692,2018-11-09 19:16:56.754000+00:00,496.0
15692,2018-11-09 19:16:57.579000+00:00,487.0
15692,2018-11-09 19:16:58.371000+00:00,514.0
15692,2018-11-09 19:16:59.196000+00:00,464.0
15692,2018-11-09 19:16:59.988000+00:00,482.0
15692,2018-11-09 19:17:00.780000+00:00,488.0
15692,2018-11-09 19:17:01.638000+00:00,513.0
15692,2018-11-09 19:17:02.661000+00:00,496.0
15692,2018-11-09 19:17:03.651000+00:00,80.0
15692,2018-11-09 19:17:04.674000+00:00,-587.0
15692,2018-11-09 19:17:05.664000+00:00,-533.0
15692,2018-11-09 19:17:06.687000+00:00,-513.0
15692,2018-11-09 19:17:07.677000+00:00,-507.0
15692,2018-11-09 19:17:08.700000+00:00,-501.0
15692,2018-11-09 19:17:09.690000+00:00,-533.0
15692,2018-11-09 19:17:10.713000+00:00,-508.0
15692,2018-11-09 19:17:11.703000+00:00,-517.0
15692,2018-11-09 19:17:12.726000+00:00,-579.0
15692,2018-11-09 19:17:13.716000+00:00,-550.0
15692,2018-11-09 19:17:14.739000+00:00,-493.0
15692,2018-11-09 19:17:15.729000+00:00,-491.0
15692,2018-11-09 19:17:16.719000+00:00,-457.0
15692,2018-11-09 19:17:17.742000+00:00,-523.0
